,generalcommodity,datetime,tons
598,Refuse,2017-08-22,3260.0
599,Refuse,2017-08-23,3280.0
600,Refuse,2017-08-24,3050.0
601,Refuse,2017-08-25,3151.0
602,Refuse,2017-08-26,69.0
603,Refuse,2017-08-27,26.0
604,Refuse,2017-08-28,3507.0
605,Refuse,2017-08-29,3309.0
606,Refuse,2017-08-30,3366.0
607,Refuse,2017-08-31,2895.0
608,Refuse,2017-09-01,2971.0
609,Refuse,2017-09-02,82.0
610,Refuse,2017-09-03,44.0
611,Refuse,2017-09-04,72.0
612,Refuse,2017-09-05,3846.0
613,Refuse,2017-09-06,3599.0
614,Refuse,2017-09-07,3582.0
615,Refuse,2017-09-08,3390.0
616,Refuse,2017-09-09,3430.0
617,Refuse,2017-09-10,49.0
618,Refuse,2017-09-11,3350.0
619,Refuse,2017-09-12,3034.0
620,Refuse,2017-09-13,2999.0
621,Refuse,2017-09-14,2869.0
622,Refuse,2017-09-15,2810.0
623,Refuse,2017-09-16,55.0
624,Refuse,2017-09-17,43.0
625,Refuse,2017-09-18,3497.0
626,Refuse,2017-09-19,3458.0
627,Refuse,2017-09-20,3371.0
628,Refuse,2017-09-21,3073.0
629,Refuse,2017-09-22,3080.0
630,Refuse,2017-09-23,38.0
631,Refuse,2017-09-24,31.0
632,Refuse,2017-09-25,3632.0
633,Refuse,2017-09-26,3238.0
634,Refuse,2017-09-27,3159.0
635,Refuse,2017-09-28,3071.0
636,Refuse,2017-09-29,2974.0
637,Refuse,2017-09-30,68.0
638,Refuse,2017-10-01,32.0
639,Refuse,2017-10-02,3581.0
640,Refuse,2017-10-03,3213.0
641,Refuse,2017-10-04,3342.0
642,Refuse,2017-10-05,3060.0
643,Refuse,2017-10-06,2996.0
644,Refuse,2017-10-07,61.0
645,Refuse,2017-10-08,44.0
646,Refuse,2017-10-09,3482.0
647,Refuse,2017-10-10,3128.0
648,Refuse,2017-10-11,3184.0
649,Refuse,2017-10-12,3121.0
650,Refuse,2017-10-13,3045.0
651,Refuse,2017-10-14,51.0
652,Refuse,2017-10-15,23.0
653,Refuse,2017-10-16,3416.0
654,Refuse,2017-10-17,3275.0
655,Refuse,2017-10-18,3214.0
656,Refuse,2017-10-19,3149.0
657,Refuse,2017-10-20,2873.0
658,Refuse,2017-10-21,69.0
659,Refuse,2017-10-22,43.0
660,Refuse,2017-10-23,3432.0
661,Refuse,2017-10-24,3218.0
662,Refuse,2017-10-25,3292.0
663,Refuse,2017-10-26,3012.0
664,Refuse,2017-10-27,3166.0
665,Refuse,2017-10-28,64.0
666,Refuse,2017-10-29,31.0
667,Refuse,2017-10-30,3431.0
668,Refuse,2017-10-31,3464.0
669,Refuse,2017-11-01,3453.0
670,Refuse,2017-11-02,3314.0
671,Refuse,2017-11-03,3286.0
672,Refuse,2017-11-04,35.0
673,Refuse,2017-11-05,55.0
674,Refuse,2017-11-06,3837.0
675,Refuse,2017-11-07,3544.0
676,Refuse,2017-11-08,3577.0
677,Refuse,2017-11-09,3278.0
678,Refuse,2017-11-10,3257.0
679,Refuse,2017-11-11,69.0
680,Refuse,2017-11-12,41.0
681,Refuse,2017-11-13,3612.0
682,Refuse,2017-11-14,3427.0
683,Refuse,2017-11-15,3405.0
684,Refuse,2017-11-16,3224.0
685,Refuse,2017-11-17,3230.0
686,Refuse,2017-11-18,55.0
687,Refuse,2017-11-19,34.0
688,Refuse,2017-11-20,3675.0
689,Refuse,2017-11-21,3467.0
690,Refuse,2017-11-22,3276.0
691,Refuse,2017-11-23,62.0
692,Refuse,2017-11-24,3477.0
693,Refuse,2017-11-25,3525.0
694,Refuse,2017-11-26,64.0
695,Refuse,2017-11-27,3833.0
696,Refuse,2017-11-28,3873.0
697,Refuse,2017-11-29,3899.0
698,Refuse,2017-11-30,3292.0
699,Refuse,2017-12-01,3146.0
700,Refuse,2017-12-02,62.0
701,Refuse,2017-12-03,32.0
702,Refuse,2017-12-04,3512.0
703,Refuse,2017-12-05,3209.0
704,Refuse,2017-12-06,3461.0
705,Refuse,2017-12-07,3160.0
706,Refuse,2017-12-08,3272.0
707,Refuse,2017-12-09,59.0
708,Refuse,2017-12-10,37.0
709,Refuse,2017-12-11,3534.0
710,Refuse,2017-12-12,3316.0
711,Refuse,2017-12-13,3459.0
712,Refuse,2017-12-14,3156.0
713,Refuse,2017-12-15,3000.0
714,Refuse,2017-12-16,48.0
715,Refuse,2017-12-17,53.0
716,Refuse,2017-12-18,3512.0
717,Refuse,2017-12-19,3305.0
718,Refuse,2017-12-20,3405.0
719,Refuse,2017-12-21,3096.0
720,Refuse,2017-12-22,3055.0
721,Refuse,2017-12-23,89.0
722,Refuse,2017-12-24,41.0
723,Refuse,2017-12-25,72.0
724,Refuse,2017-12-26,3828.0
725,Refuse,2017-12-27,3641.0
726,Refuse,2017-12-28,3762.0
727,Refuse,2017-12-29,3657.0
728,Refuse,2017-12-30,3767.0
729,Refuse,2017-12-31,50.0
730,Refuse,2018-01-01,60.0
731,Refuse,2018-01-02,3831.0
732,Refuse,2018-01-03,3645.0
733,Refuse,2018-01-04,3644.0
734,Refuse,2018-01-05,3497.0
735,Refuse,2018-01-06,3509.0
736,Refuse,2018-01-07,55.0
737,Refuse,2018-01-08,3375.0
738,Refuse,2018-01-09,3325.0
739,Refuse,2018-01-10,3207.0
740,Refuse,2018-01-11,3202.0
741,Refuse,2018-01-12,3133.0
