year,month_year,date,day_count
2021,2021-01,2021-01-12,143871
2021,2021-01,2021-01-11,122178
2021,2021-01,2021-01-10,144316
2021,2021-01,2021-01-09,159264
2021,2021-01,2021-01-08,159277
2021,2021-01,2021-01-07,210190
2021,2021-01,2021-01-06,16261
2021,2021-01,2021-01-05,25203
2021,2021-01,2021-01-04,23034
2021,2021-01,2021-01-03,26553
2021,2021-01,2021-01-02,44536
2021,2021-01,2021-01-01,19041
2020,2020-12,2020-12-31,35368
2020,2020-12,2020-12-30,81821
2020,2020-12,2020-12-29,58948
2020,2020-12,2020-12-28,36197
2020,2020-12,2020-12-27,30876
2020,2020-12,2020-12-26,28480
2020,2020-12,2020-12-25,35865
2020,2020-12,2020-12-24,36545
2020,2020-12,2020-12-23,36575
2020,2020-12,2020-12-22,40102
2020,2020-12,2020-12-21,70112
2020,2020-12,2020-12-20,168045
2020,2020-12,2020-12-19,16565
2020,2020-12,2020-12-18,24447
2020,2020-12,2020-12-17,91736
2020,2020-12,2020-12-16,40872
2020,2020-12,2020-12-15,46748
2020,2020-12,2020-12-14,123382
2020,2020-12,2020-12-13,15081
2020,2020-12,2020-12-12,14988
2020,2020-12,2020-12-11,25994
2020,2020-12,2020-12-10,109473
2020,2020-12,2020-12-09,81130
2020,2020-12,2020-12-08,36647
2020,2020-12,2020-12-07,34967
2020,2020-12,2020-12-06,13132
2020,2020-12,2020-12-05,11439
2020,2020-12,2020-12-04,22277
2020,2020-12,2020-12-03,15667
2020,2020-12,2020-12-02,23099
2020,2020-12,2020-12-01,13222
2020,2020-11,2020-11-30,12249
2020,2020-11,2020-11-29,10163
2020,2020-11,2020-11-28,9902
2020,2020-11,2020-11-27,12107
2020,2020-11,2020-11-26,30241
2020,2020-11,2020-11-25,30658
2020,2020-11,2020-11-24,25226
2020,2020-11,2020-11-23,13276
2020,2020-11,2020-11-22,17728
2020,2020-11,2020-11-21,26190
2020,2020-11,2020-11-20,22506
2020,2020-11,2020-11-19,18976
2020,2020-11,2020-11-18,41482
2020,2020-11,2020-11-17,35090
2020,2020-11,2020-11-16,55786
2020,2020-11,2020-11-15,48680
2020,2020-11,2020-11-14,125665
2020,2020-11,2020-11-13,245548
2020,2020-11,2020-11-12,14733
2020,2020-11,2020-11-11,14966
2020,2020-11,2020-11-10,22200
2020,2020-11,2020-11-09,37918
2020,2020-11,2020-11-08,15959
2020,2020-11,2020-11-07,22590
2020,2020-11,2020-11-06,69828
2020,2020-11,2020-11-05,20213
2020,2020-11,2020-11-04,9268
2020,2020-11,2020-11-03,22578
2020,2020-11,2020-11-02,24725
2020,2020-11,2020-11-01,14951
2020,2020-10,2020-10-31,17302
2020,2020-10,2020-10-30,18615
2020,2020-10,2020-10-29,44614
2020,2020-10,2020-10-28,39501
2020,2020-10,2020-10-27,12290
2020,2020-10,2020-10-26,13300
2020,2020-10,2020-10-25,24160
2020,2020-10,2020-10-24,14638
2020,2020-10,2020-10-23,18346
2020,2020-10,2020-10-22,32090
2020,2020-10,2020-10-21,23023
2020,2020-10,2020-10-20,20679
2020,2020-10,2020-10-19,21910
2020,2020-10,2020-10-18,14436
2020,2020-10,2020-10-17,16325
2020,2020-10,2020-10-16,26688
2020,2020-10,2020-10-15,36101
2020,2020-10,2020-10-14,79218
2020,2020-10,2020-10-13,43939
2020,2020-10,2020-10-12,25035
2020,2020-10,2020-10-11,25872
2020,2020-10,2020-10-10,17264
2020,2020-10,2020-10-09,18563
2020,2020-10,2020-10-08,19807
2020,2020-10,2020-10-07,22855
2020,2020-10,2020-10-06,31205
2020,2020-10,2020-10-05,24952
2020,2020-10,2020-10-04,89030
2020,2020-10,2020-10-03,17699
2020,2020-10,2020-10-02,22078
2020,2020-10,2020-10-01,12809
2020,2020-09,2020-09-30,13434
2020,2020-09,2020-09-29,21238
2020,2020-09,2020-09-28,35882
2020,2020-09,2020-09-27,92800
2020,2020-09,2020-09-26,82990
2020,2020-09,2020-09-25,63255
2020,2020-09,2020-09-24,22831
2020,2020-09,2020-09-23,63024
2020,2020-09,2020-09-22,31524
2020,2020-09,2020-09-21,25544
2020,2020-09,2020-09-20,18130
