,reporting_district,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
544,191,0,2,1,3,1,6,8,4,25,0
545,1913,1,0,0,0,0,0,0,1,0,0
546,1468,1,0,1,0,0,0,0,0,0,0
547,1967,1,2,0,0,0,2,0,0,0,0
548,1971,7,8,2,3,5,1,0,1,0,0
549,1972,14,0,1,2,0,0,0,0,0,0
550,1974,1,3,1,5,3,2,0,0,0,0
551,1977,0,0,0,0,0,1,0,0,0,0
552,1979,0,0,0,0,0,1,0,0,0,0
553,1981,10,11,7,9,1,2,0,0,0,0
554,1982,95,13,7,7,2,0,0,0,0,0
555,1983,27,2,4,6,4,3,0,0,0,0
556,1984,9,4,4,12,2,0,0,0,0,0
557,1985,5,0,2,3,0,0,4,0,1,0
558,1987,0,0,0,1,0,3,3,0,0,0
559,1988,0,0,0,0,0,0,1,0,0,0
560,1991,7,0,1,1,3,4,0,0,0,0
