,zip,toyota,honda,ford,chevrolet,nissan,bmw,hyundai,lexus,mercedes_benz,kia,total
229,91367,3189,3077,1541,1019,772,1590,920,1461,1618,427,22088
230,91377,1109,1127,363,172,210,579,238,554,405,65,7279
231,91381,1822,1531,571,387,364,748,378,679,678,250,9959
232,91384,2458,1542,1015,898,702,295,403,333,320,354,10734
233,91387,4364,3185,1738,1338,1389,732,839,854,765,697,20662
234,91390,1751,1335,1077,757,428,326,351,350,315,244,9265
235,91401,3779,2181,797,823,1202,999,711,970,1020,642,16735
236,91402,6649,4395,1381,1451,2751,637,723,767,691,620,23480
237,91403,1937,1263,528,312,438,1130,488,939,1199,278,12566
238,91405,5119,3157,2253,1555,2005,839,751,868,944,723,23743
239,91406,5279,3324,2019,1363,1943,771,951,797,812,671,22586
240,91411,2143,1364,496,377,731,364,399,343,368,245,8356
241,91423,2496,1754,741,487,598,1265,655,1063,1194,415,16254
242,91436,919,623,193,173,115,971,187,930,1329,32,8957
243,91501,1838,1163,354,527,412,754,376,647,667,373,8914
244,91502,946,665,314,316,282,223,202,91,192,190,3962
245,91504,2514,1660,612,732,591,814,429,829,801,407,11780
246,91505,2947,2309,1162,848,764,600,634,615,531,488,14625
247,91506,1807,1245,535,578,465,351,300,374,278,273,8025
248,91521,0,0,12,0,0,0,0,0,0,0,74
249,91601,3225,2310,908,700,1114,715,741,509,631,620,14735
250,91602,1609,1085,427,244,446,815,389,445,570,210,8785
251,91604,2245,1446,621,426,458,1530,490,1016,1351,323,15393
252,91605,5517,3280,1384,1342,2024,1027,660,1029,1267,744,22050
253,91606,4165,2613,895,897,1436,750,655,656,796,682,16371
254,91607,2629,1681,724,507,721,747,668,770,712,517,12926
255,91608,0,0,0,0,0,0,0,0,0,0,12
256,91701,4179,2714,1969,2033,1330,563,823,723,693,843,19938
257,91702,5256,4269,1636,2106,2549,588,880,631,626,1101,23640
258,91706,8400,5875,1923,2255,3648,624,813,1064,659,1152,31715
259,91708,1228,917,519,293,374,281,274,231,415,230,5672
260,91709,8976,6947,3351,2298,2044,2258,1767,2731,2762,1363,44822
261,91710,8343,5771,3985,4369,3266,1175,1438,1391,1521,1798,42280
262,91711,3617,2326,988,908,716,524,549,661,670,423,15012
263,91716,0,0,0,0,0,0,0,0,0,0,14
264,91722,3577,3035,932,1209,1516,375,515,346,367,845,14989
265,91723,1776,1477,574,615,756,188,310,179,194,488,7509
